age,workclass,fnlwgt,education_num,marital_status,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income,education_level,occupation_grouped,native_region,age_group
40,private,193524,16,married,male spouse,white,male,0,0,60,>50k,tertiary,white collar,north america,36-45
54,private,302146,9,divorced or separated,single,black,female,0,0,20,<=50k,secondary-school graduate,service,north america,46-60
35,government,76845,5,married,male spouse,black,male,0,0,40,<=50k,secondary,blue collar,north america,26-35
43,private,117037,7,married,male spouse,white,male,0,2042,40,<=50k,secondary,blue collar,north america,36-45
59,private,109015,9,divorced or separated,single,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,46-60
56,government,216851,13,married,male spouse,white,male,0,0,40,>50k,tertiary,white collar,north america,46-60
19,private,168294,9,single,child,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,18-25
54,unknown,180211,10,married,male spouse,asian or pacific islander,male,0,0,60,>50k,some college,unknown,south america,46-60
39,private,367260,9,divorced or separated,single,white,male,0,0,80,<=50k,secondary-school graduate,white collar,north america,36-45
49,private,193366,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,46-60
23,government,190709,12,single,single,white,male,0,0,52,<=50k,associate,service,north america,18-25
20,private,266015,10,single,child,black,male,0,0,44,<=50k,some college,white collar,north america,18-25
45,private,386940,13,divorced or separated,child,white,male,0,1408,40,<=50k,tertiary,white collar,north america,36-45
30,government,59951,10,married,child,white,male,0,0,40,<=50k,some college,white collar,north america,26-35
22,government,311512,10,married,male spouse,black,male,0,0,15,<=50k,some college,service,north america,18-25
48,private,242406,7,single,single,white,male,0,0,40,<=50k,secondary,blue collar,north america,46-60
21,private,197200,10,single,child,white,male,0,0,40,<=50k,some college,blue collar,north america,18-25
19,private,544091,9,married,female spouse,white,female,0,0,25,<=50k,secondary-school graduate,white collar,north america,18-25
31,private,84154,10,married,male spouse,white,male,0,0,38,>50k,some college,white collar,other,26-35
48,self-employed,265477,12,married,male spouse,white,male,0,0,40,<=50k,associate,white collar,north america,46-60
31,private,507875,5,married,male spouse,white,male,0,0,43,<=50k,secondary,blue collar,north america,26-35
53,self-employed,88506,13,married,male spouse,white,male,0,0,40,<=50k,tertiary,white collar,north america,46-60
24,private,172987,13,married,male spouse,white,male,0,0,50,<=50k,tertiary,white collar,north america,18-25
49,private,94638,9,divorced or separated,single,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,46-60
25,private,289980,9,single,single,white,male,0,0,35,<=50k,secondary-school graduate,blue collar,north america,18-25
57,government,337895,13,married,male spouse,black,male,0,0,40,>50k,tertiary,white collar,north america,46-60
53,private,144361,9,married,male spouse,white,male,0,0,38,<=50k,secondary-school graduate,blue collar,north america,46-60
44,private,128354,14,divorced or separated,single,white,female,0,0,40,<=50k,tertiary,white collar,north america,36-45
41,government,101603,11,married,male spouse,white,male,0,0,40,<=50k,associate,blue collar,north america,36-45
29,private,271466,11,single,single,white,male,0,0,43,<=50k,associate,white collar,north america,26-35
25,private,32275,10,married,female spouse,other,female,0,0,40,<=50k,some college,white collar,north america,18-25
18,private,226956,9,single,child,white,female,0,0,30,<=50k,secondary-school graduate,service,other,<18
47,private,51835,15,married,female spouse,white,female,0,1902,60,>50k,tertiary,white collar,central america,46-60
50,government,251585,13,divorced or separated,single,white,male,0,0,55,>50k,tertiary,white collar,north america,46-60
47,self-employed,109832,9,divorced or separated,single,white,male,0,0,60,<=50k,secondary-school graduate,white collar,north america,46-60
43,private,237993,10,married,male spouse,white,male,0,0,40,>50k,some college,white collar,north america,36-45
46,private,216666,3,married,male spouse,white,male,0,0,40,<=50k,primary,blue collar,north america,46-60
35,private,56352,11,married,male spouse,white,male,0,0,40,<=50k,associate,service,north america,26-35
41,private,147372,9,married,male spouse,white,male,0,0,48,<=50k,secondary-school graduate,white collar,north america,36-45
30,private,188146,9,married,male spouse,white,male,5013,0,40,<=50k,secondary-school graduate,blue collar,north america,26-35
30,private,59496,13,married,male spouse,white,male,2407,0,40,<=50k,tertiary,white collar,north america,26-35
32,unknown,293936,4,married or separated,single,white,male,0,0,40,<=50k,primary,unknown,other,26-35
48,private,149640,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,46-60
42,private,116632,16,married,male spouse,white,male,0,0,45,>50k,tertiary,white collar,north america,36-45
29,private,105598,10,divorced or separated,single,white,male,0,0,58,<=50k,some college,white collar,north america,26-35
36,private,155537,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,36-45
28,private,183175,10,divorced or separated,single,white,female,0,0,40,<=50k,some college,white collar,north america,26-35
53,private,169846,9,married,female spouse,white,female,0,0,40,>50k,secondary-school graduate,white collar,north america,46-60
49,self-employed,191681,10,married,male spouse,white,male,0,0,50,>50k,some college,white collar,north america,46-60
25,unknown,200681,10,single,child,white,male,0,0,40,<=50k,some college,unknown,north america,18-25
19,private,101509,10,single,child,white,male,0,0,32,<=50k,some college,white collar,north america,18-25
31,private,309974,13,divorced or separated,child,black,female,0,0,40,<=50k,tertiary,white collar,north america,26-35
29,self-employed,162298,13,married,male spouse,white,male,0,0,70,>50k,tertiary,white collar,north america,26-35
23,private,211678,10,single,single,white,male,0,0,40,<=50k,some college,blue collar,north america,18-25
79,private,124744,10,married,extended relative,white,male,0,0,20,<=50k,some college,white collar,north america,76+
27,private,213921,9,single,child,white,male,0,0,40,<=50k,secondary-school graduate,service,north america,26-35
40,private,32214,12,married,male spouse,white,male,0,0,40,<=50k,associate,white collar,north america,36-45
67,unknown,212759,6,married,male spouse,white,male,0,0,2,<=50k,secondary,unknown,north america,61-75
18,private,309634,7,single,child,white,female,0,0,22,<=50k,secondary,service,north america,<18
31,government,125927,4,married,male spouse,white,male,0,0,40,<=50k,primary,blue collar,north america,26-35
18,private,446839,9,single,single,white,male,0,0,30,<=50k,secondary-school graduate,white collar,north america,<18
52,private,276515,13,married,male spouse,white,male,0,0,40,<=50k,tertiary,service,central america,46-60
46,private,51618,9,married,female spouse,white,female,0,0,40,<=50k,secondary-school graduate,service,north america,46-60
59,private,159937,9,married,male spouse,white,male,0,0,48,<=50k,secondary-school graduate,white collar,north america,46-60
44,private,343591,9,divorced or separated,single,white,female,14344,0,40,>50k,secondary-school graduate,blue collar,north america,36-45
53,private,346253,9,divorced or separated,child,white,female,0,0,35,<=50k,secondary-school graduate,white collar,north america,46-60
49,government,268234,9,married,male spouse,white,male,0,0,40,>50k,secondary-school graduate,service,north america,46-60
33,private,202051,14,married,male spouse,white,male,0,0,50,<=50k,tertiary,white collar,north america,26-35
30,private,54334,5,single,single,white,male,0,0,40,<=50k,secondary,white collar,north america,26-35
43,government,410867,16,single,single,white,female,0,0,50,>50k,tertiary,white collar,north america,36-45
57,private,249977,11,married,male spouse,white,male,0,0,40,<=50k,associate,white collar,north america,46-60
37,private,286730,10,divorced or separated,single,white,female,0,0,40,<=50k,some college,blue collar,north america,36-45
28,private,212563,10,divorced or separated,single,black,female,0,0,25,<=50k,some college,blue collar,north america,26-35
30,private,117747,9,married,female spouse,asian or pacific islander,female,0,1573,35,<=50k,secondary-school graduate,white collar,other,26-35
34,government,226296,13,married,male spouse,white,male,0,0,40,>50k,tertiary,service,north america,26-35
29,government,115585,10,single,single,white,male,0,0,50,<=50k,some college,blue collar,north america,26-35
48,self-employed,191277,16,married,male spouse,white,male,0,1902,60,>50k,tertiary,white collar,north america,46-60
37,private,202683,10,married,male spouse,white,male,0,0,48,>50k,some college,white collar,north america,36-45
48,private,171095,12,divorced or separated,single,white,female,0,0,40,<=50k,associate,white collar,europe,46-60
32,government,249409,9,single,child,black,male,0,0,40,<=50k,secondary-school graduate,service,north america,26-35
76,private,124191,14,married,male spouse,white,male,0,0,40,>50k,tertiary,white collar,north america,76+
44,private,198282,13,married,male spouse,white,male,15024,0,60,>50k,tertiary,white collar,north america,36-45
47,self-employed,149116,14,single,single,white,female,0,0,50,<=50k,tertiary,white collar,north america,46-60
20,private,188300,10,single,child,white,female,0,0,40,<=50k,some college,white collar,north america,18-25
29,private,103432,9,single,single,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,26-35
32,self-employed,317660,9,married,male spouse,white,male,7688,0,40,>50k,secondary-school graduate,blue collar,north america,26-35
17,unknown,304873,6,single,child,white,female,34095,0,32,<=50k,secondary,unknown,north america,<18
30,private,194901,7,single,child,white,male,0,0,40,<=50k,secondary,blue collar,north america,26-35
31,government,189265,9,single,single,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,26-35
42,private,124692,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,36-45
24,private,432376,13,single,extended relative,white,male,0,0,40,<=50k,tertiary,white collar,north america,18-25
38,private,65324,15,married,male spouse,white,male,0,0,40,>50k,tertiary,white collar,north america,36-45
56,self-employed,335605,9,married,male spouse,white,male,0,1887,50,>50k,secondary-school graduate,service,north america,46-60
28,private,377869,10,married,female spouse,white,female,4064,0,25,<=50k,some college,white collar,north america,26-35
36,private,102864,9,single,child,white,female,0,0,40,<=50k,secondary-school graduate,blue collar,north america,36-45
53,private,95647,5,married,male spouse,white,male,0,0,50,<=50k,secondary,blue collar,north america,46-60
56,self-employed,303090,10,married,male spouse,white,male,0,0,50,<=50k,some college,white collar,north america,46-60
49,government,197371,11,married,male spouse,black,male,0,0,40,>50k,associate,blue collar,north america,46-60
55,private,247552,10,married,male spouse,white,male,0,0,56,<=50k,some college,white collar,north america,46-60
22,private,102632,9,single,single,white,male,0,0,41,<=50k,secondary-school graduate,blue collar,north america,18-25
21,private,199915,10,single,child,white,female,0,0,40,<=50k,some college,service,north america,18-25
40,private,118853,13,married,male spouse,white,male,0,0,60,<=50k,tertiary,white collar,north america,36-45
30,private,77143,13,single,child,black,male,0,0,40,<=50k,tertiary,white collar,europe,26-35
29,government,267989,13,married,male spouse,white,male,0,0,50,>50k,tertiary,white collar,north america,26-35
19,private,301606,10,single,child,black,male,0,0,35,<=50k,some college,service,north america,18-25
47,private,287828,13,married,female spouse,white,female,0,0,40,>50k,tertiary,white collar,north america,46-60
20,private,111697,10,single,child,white,female,0,1719,28,<=50k,some college,white collar,north america,18-25
31,private,114937,12,married,male spouse,white,male,0,0,40,>50k,associate,white collar,north america,26-35
35,unknown,129305,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,unknown,north america,26-35
39,private,365739,10,divorced or separated,single,white,male,0,0,40,<=50k,some college,blue collar,north america,36-45
28,private,69621,12,single,single,white,female,0,0,60,<=50k,associate,white collar,north america,26-35
24,private,43323,9,single,single,white,female,0,1762,40,<=50k,secondary-school graduate,service,north america,18-25
38,self-employed,120985,9,married,male spouse,white,male,4386,0,35,<=50k,secondary-school graduate,blue collar,north america,36-45
37,private,254202,13,married,male spouse,white,male,0,0,50,<=50k,tertiary,white collar,north america,36-45
46,private,146195,12,divorced or separated,single,black,female,0,0,36,<=50k,associate,white collar,north america,46-60
38,government,125933,14,married,male spouse,white,male,0,0,40,>50k,tertiary,white collar,asia,36-45
43,self-employed,56920,9,married,male spouse,white,male,0,0,60,<=50k,secondary-school graduate,blue collar,north america,36-45
27,private,163127,11,married,female spouse,white,female,0,0,35,<=50k,associate,white collar,north america,26-35
20,private,34310,10,single,child,white,male,0,0,20,<=50k,some college,white collar,north america,18-25
49,private,81973,10,married,male spouse,asian or pacific islander,male,0,0,40,>50k,some college,blue collar,north america,46-60
61,self-employed,66614,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,61-75
27,private,232782,10,single,child,white,female,0,0,40,<=50k,some college,white collar,north america,26-35
19,private,316868,10,single,child,white,male,0,0,30,<=50k,some college,service,north america,18-25
45,private,196584,11,single,single,white,female,0,1564,40,>50k,associate,white collar,north america,36-45
70,private,105376,10,single,extended relative,white,male,0,0,40,<=50k,some college,white collar,north america,61-75
31,private,185814,9,single,single,black,female,0,0,30,<=50k,secondary-school graduate,blue collar,north america,26-35
22,private,175374,10,married,male spouse,white,male,0,0,24,<=50k,some college,service,north america,18-25
36,private,108293,9,widowed,single,white,female,0,0,24,<=50k,secondary-school graduate,service,north america,36-45
64,private,181232,7,married,male spouse,white,male,0,2179,40,<=50k,secondary,blue collar,north america,61-75
43,unknown,174662,10,divorced or separated,single,white,female,0,0,40,<=50k,some college,unknown,north america,36-45
47,government,186009,10,divorced or separated,single,white,female,0,0,38,<=50k,some college,white collar,north america,46-60
34,private,198183,9,single,single,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,26-35
33,private,163003,13,single,extended relative,asian or pacific islander,female,0,0,40,<=50k,tertiary,white collar,asia,26-35
21,private,296158,9,single,child,white,male,0,0,35,<=50k,secondary-school graduate,blue collar,north america,18-25
52,unknown,252903,9,divorced or separated,single,white,male,0,0,45,>50k,secondary-school graduate,unknown,north america,46-60
48,private,187715,9,married,male spouse,white,male,0,0,46,<=50k,secondary-school graduate,blue collar,north america,46-60
23,private,214542,13,single,single,white,male,0,0,40,<=50k,tertiary,blue collar,north america,18-25
71,self-employed,494223,10,divorced or separated,single,black,male,0,1816,2,<=50k,some college,white collar,north america,61-75
29,private,191535,9,divorced or separated,single,white,male,0,0,60,<=50k,secondary-school graduate,blue collar,north america,26-35
42,private,228456,13,divorced or separated,extended relative,black,male,0,0,50,<=50k,tertiary,service,north america,36-45
68,unknown,38317,2,divorced or separated,single,white,female,0,0,20,<=50k,primary,unknown,north america,61-75
25,private,252752,9,single,single,white,female,0,0,40,<=50k,secondary-school graduate,service,north america,18-25
44,self-employed,78374,14,divorced or separated,single,asian or pacific islander,female,0,0,40,<=50k,tertiary,white collar,north america,36-45
28,private,88419,9,single,single,asian or pacific islander,female,0,0,40,<=50k,secondary-school graduate,white collar,europe,26-35
45,self-employed,201080,14,married,male spouse,white,male,0,0,40,>50k,tertiary,white collar,north america,36-45
36,private,207157,10,divorced or separated,single,white,female,0,0,40,<=50k,some college,service,north america,36-45
39,government,235485,12,single,single,white,male,0,0,42,<=50k,associate,white collar,north america,36-45
46,government,102628,14,widowed,single,white,male,0,0,40,<=50k,tertiary,service,north america,46-60
18,private,25828,7,single,child,white,male,0,0,16,<=50k,secondary,blue collar,north america,<18
66,government,54826,11,widowed,single,white,female,0,0,20,<=50k,associate,white collar,north america,61-75
27,private,124953,9,single,single,white,male,0,1980,40,<=50k,secondary-school graduate,service,north america,26-35
28,government,175325,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,service,north america,26-35
51,private,96062,10,married,male spouse,white,male,0,1977,40,>50k,some college,white collar,north america,46-60
27,private,428030,13,single,single,white,male,0,0,50,<=50k,tertiary,blue collar,north america,26-35
28,government,149624,13,married,male spouse,white,male,0,0,40,>50k,tertiary,white collar,north america,26-35
27,private,253814,9,married or separated,single,white,female,0,0,25,<=50k,secondary-school graduate,white collar,north america,26-35
21,private,312956,9,single,child,black,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,18-25
34,private,483777,9,single,single,black,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,26-35
18,private,183930,9,single,child,white,male,0,0,12,<=50k,secondary-school graduate,service,north america,<18
33,private,37274,13,married,male spouse,white,male,0,0,65,<=50k,tertiary,white collar,north america,26-35
44,government,181344,10,married,male spouse,black,male,0,0,38,>50k,some college,white collar,north america,36-45
43,private,114580,10,divorced or separated,single,white,female,0,0,40,<=50k,some college,white collar,north america,36-45
30,private,633742,10,single,single,black,male,0,0,45,<=50k,some college,blue collar,north america,26-35
40,private,286370,4,married,male spouse,white,male,0,0,40,>50k,primary,blue collar,north america,36-45
37,government,29054,10,married,male spouse,white,male,0,0,42,>50k,some college,white collar,north america,36-45
34,private,304030,9,married,male spouse,black,male,0,0,40,<=50k,secondary-school graduate,white collar,north america,26-35
41,self-employed,143129,13,divorced or separated,single,white,female,0,0,40,<=50k,tertiary,white collar,north america,36-45
53,unknown,135105,13,divorced or separated,single,white,female,0,0,50,<=50k,tertiary,unknown,north america,46-60
31,private,99928,14,married,female spouse,white,female,0,0,50,<=50k,tertiary,white collar,north america,26-35
58,government,109567,16,married,male spouse,white,male,0,0,1,>50k,tertiary,white collar,north america,46-60
38,private,155222,10,divorced or separated,single,black,female,0,0,28,<=50k,some college,blue collar,north america,36-45
24,private,159567,10,married,male spouse,white,male,0,0,40,<=50k,some college,blue collar,north america,18-25
41,government,523910,13,married,male spouse,black,male,0,0,40,<=50k,tertiary,blue collar,north america,36-45
47,private,120939,10,married,male spouse,white,male,0,0,45,<=50k,some college,white collar,north america,46-60
41,government,130760,13,married,male spouse,white,male,0,0,24,<=50k,tertiary,white collar,north america,36-45
23,private,197387,3,married,extended relative,white,male,0,0,40,<=50k,primary,blue collar,north america,18-25
36,private,99374,10,divorced or separated,single,white,male,0,0,40,<=50k,some college,blue collar,north america,36-45
40,government,56795,14,single,single,white,female,14084,0,55,>50k,tertiary,white collar,north america,36-45
35,private,138992,14,married,extended relative,white,male,7298,0,40,>50k,tertiary,white collar,north america,26-35
24,self-employed,32921,9,single,single,white,male,0,0,40,<=50k,secondary-school graduate,white collar,north america,18-25
26,private,397317,14,single,single,white,female,0,1876,40,<=50k,tertiary,white collar,north america,26-35
19,unknown,170653,9,single,child,white,male,0,0,40,<=50k,secondary-school graduate,unknown,europe,18-25
51,private,259323,13,married,male spouse,white,male,0,0,50,>50k,tertiary,white collar,north america,46-60
42,government,254817,10,single,single,white,female,0,1340,40,<=50k,some college,white collar,north america,36-45
37,government,48211,9,divorced or separated,single,white,female,0,0,35,<=50k,secondary-school graduate,white collar,north america,36-45
18,private,140164,7,single,child,white,female,0,0,40,<=50k,secondary,white collar,north america,<18
36,private,128757,13,married,male spouse,black,male,7298,0,36,>50k,tertiary,service,north america,36-45
35,private,36270,9,divorced or separated,single,white,male,0,0,60,<=50k,secondary-school graduate,blue collar,north america,26-35
58,self-employed,210563,9,married,female spouse,white,female,15024,0,35,>50k,secondary-school graduate,white collar,north america,46-60
17,private,65368,7,single,child,white,female,0,0,12,<=50k,secondary,white collar,north america,<18
44,government,160943,9,married,male spouse,black,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,36-45
37,private,208358,9,married,male spouse,white,male,0,0,40,>50k,secondary-school graduate,blue collar,north america,36-45
35,private,153790,10,single,single,american indian or eskimo,female,0,0,40,<=50k,some college,white collar,north america,26-35
60,private,85815,9,married,male spouse,asian or pacific islander,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,46-60
54,self-employed,125417,4,married,male spouse,white,male,0,0,40,>50k,primary,blue collar,north america,46-60
37,private,635913,13,single,single,black,male,0,0,60,>50k,tertiary,white collar,north america,36-45
50,private,313321,12,divorced or separated,single,white,female,0,0,40,<=50k,associate,white collar,north america,46-60
38,private,182609,13,married,male spouse,white,male,0,0,50,<=50k,tertiary,white collar,europe,36-45
45,private,109434,13,married,male spouse,white,male,0,0,55,<=50k,tertiary,white collar,north america,36-45
25,private,255004,6,single,single,white,male,0,0,40,<=50k,secondary,blue collar,north america,18-25
31,private,197860,10,married,male spouse,white,male,0,0,40,<=50k,some college,blue collar,north america,26-35
64,unknown,187656,2,divorced or separated,single,white,male,0,0,40,<=50k,primary,unknown,north america,61-75
90,private,51744,9,single,single,black,male,0,2206,40,<=50k,secondary-school graduate,service,north america,76+
54,private,176681,9,married,male spouse,black,male,0,0,20,<=50k,secondary-school graduate,white collar,north america,46-60
53,government,140359,1,single,single,white,female,0,0,35,<=50k,preschool,blue collar,north america,46-60
18,private,243313,9,single,child,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,<18
60,unknown,24215,6,divorced or separated,single,american indian or eskimo,female,0,0,10,<=50k,secondary,unknown,north america,46-60
66,self-employed,167687,9,married,male spouse,white,male,1409,0,50,<=50k,secondary-school graduate,blue collar,north america,61-75
75,private,314209,11,widowed,single,white,female,0,0,20,<=50k,associate,white collar,south america,61-75
65,private,176796,9,divorced or separated,single,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,61-75
35,private,538583,7,divorced or separated,single,black,male,3674,0,40,<=50k,secondary,blue collar,north america,26-35
41,private,130408,9,divorced or separated,single,black,female,0,0,38,<=50k,secondary-school graduate,white collar,north america,36-45
25,private,159732,10,single,single,white,male,0,0,42,<=50k,some college,white collar,north america,18-25
33,private,110978,10,divorced or separated,extended relative,other,female,0,0,40,<=50k,some college,blue collar,north america,26-35
28,private,76714,15,single,single,white,male,0,0,55,>50k,tertiary,white collar,north america,26-35
59,government,268700,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,service,north america,46-60
40,government,170525,10,single,single,white,female,0,0,38,<=50k,some college,white collar,north america,36-45
41,private,180138,13,married,male spouse,white,male,0,0,50,>50k,tertiary,white collar,asia,36-45
38,government,115076,14,married,male spouse,white,male,0,0,70,>50k,tertiary,white collar,north america,36-45
23,private,115458,9,single,child,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,18-25
40,private,347890,13,married,male spouse,white,male,0,0,40,>50k,tertiary,white collar,north america,36-45
41,self-employed,196001,9,married,female spouse,white,female,0,0,20,<=50k,secondary-school graduate,service,north america,36-45
24,government,273905,12,married,male spouse,white,male,0,0,50,<=50k,associate,service,north america,18-25
20,unknown,119156,10,single,child,white,male,0,0,20,<=50k,some college,unknown,north america,18-25
38,private,179488,10,divorced or separated,single,white,male,0,1741,40,<=50k,some college,blue collar,north america,36-45
56,private,203580,9,married,male spouse,white,male,0,0,35,<=50k,secondary-school graduate,white collar,other,46-60
58,private,236596,9,married,male spouse,white,male,0,0,45,>50k,secondary-school graduate,white collar,north america,46-60
32,private,183916,9,single,single,white,female,0,0,34,<=50k,secondary-school graduate,service,north america,26-35
40,private,207578,12,married,male spouse,white,male,0,1977,60,>50k,associate,white collar,north america,36-45
45,private,153141,9,married,male spouse,white,male,0,0,40,<=50k,secondary-school graduate,white collar,other,36-45
41,private,112763,15,married,female spouse,white,female,0,0,40,>50k,tertiary,white collar,north america,36-45
42,private,390781,13,married,female spouse,black,female,0,0,40,<=50k,tertiary,white collar,north america,36-45
59,government,171328,6,widowed,single,black,female,0,0,30,<=50k,secondary,service,north america,46-60
19,government,27382,10,single,child,white,male,0,0,40,<=50k,some college,white collar,north america,18-25
58,private,259014,10,single,single,white,male,0,0,20,<=50k,some college,blue collar,north america,46-60
42,self-employed,303044,9,married,male spouse,asian or pacific islander,male,0,0,40,>50k,secondary-school graduate,blue collar,asia,36-45
20,private,117789,9,single,child,white,female,0,0,40,<=50k,secondary-school graduate,service,north america,18-25
32,private,172579,9,divorced or separated,single,white,female,0,0,30,<=50k,secondary-school graduate,service,north america,26-35
45,private,187666,11,widowed,single,white,female,0,0,45,<=50k,associate,white collar,north america,36-45
50,private,204518,4,divorced or separated,single,white,male,0,0,40,<=50k,primary,blue collar,north america,46-60
36,private,150042,13,divorced or separated,child,white,female,0,0,40,<=50k,tertiary,white collar,north america,36-45
45,private,98092,9,married,male spouse,white,male,0,0,60,<=50k,secondary-school graduate,white collar,north america,36-45
17,private,245918,7,single,child,white,male,0,0,12,<=50k,secondary,service,north america,<18
59,private,146013,10,married,male spouse,white,male,4064,0,40,<=50k,some college,white collar,north america,46-60
26,private,378322,7,married,male spouse,white,male,0,0,40,<=50k,secondary,blue collar,north america,26-35
37,self-employed,257295,10,married,male spouse,asian or pacific islander,male,0,0,75,>50k,some college,white collar,asia,36-45
19,unknown,218956,10,single,child,white,male,0,0,24,<=50k,some college,unknown,north america,18-25
64,private,21174,9,married,male spouse,white,male,0,0,40,>50k,secondary-school graduate,white collar,north america,61-75
33,private,185480,13,single,single,white,female,0,0,45,<=50k,tertiary,white collar,north america,26-35
33,private,222205,9,married,female spouse,white,female,0,0,40,>50k,secondary-school graduate,blue collar,north america,26-35
61,private,69867,9,married,male spouse,white,male,0,0,40,>50k,secondary-school graduate,white collar,north america,61-75
17,private,191260,5,single,child,white,male,1055,0,24,<=50k,secondary,service,north america,<18
50,self-employed,30653,14,married,male spouse,white,male,2407,0,98,<=50k,tertiary,blue collar,north america,46-60
27,government,209109,14,single,child,white,male,0,0,35,<=50k,tertiary,white collar,north america,26-35
30,private,70377,9,divorced or separated,child,white,female,0,0,40,<=50k,secondary-school graduate,white collar,north america,26-35
43,private,477983,9,married,male spouse,black,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,36-45
44,private,170924,10,married,male spouse,white,male,7298,0,40,>50k,some college,blue collar,north america,36-45
35,private,190174,10,single,single,white,female,0,0,40,<=50k,some college,white collar,north america,26-35
25,private,193787,10,single,child,white,female,0,0,40,<=50k,some college,white collar,north america,18-25
24,private,279472,10,married,female spouse,white,female,7298,0,48,>50k,some college,blue collar,north america,18-25
22,private,34918,13,single,single,white,female,0,0,15,<=50k,tertiary,white collar,europe,18-25
42,government,97688,10,married,male spouse,white,male,5178,0,40,>50k,some college,blue collar,north america,36-45
34,private,175413,12,divorced or separated,single,black,female,0,0,45,<=50k,associate,white collar,north america,26-35
60,private,173960,13,divorced or separated,single,white,female,0,0,42,<=50k,tertiary,white collar,north america,46-60
21,private,205759,9,single,child,white,male,0,0,40,<=50k,secondary-school graduate,blue collar,north america,18-25
57,government,425161,14,married,male spouse,white,male,15024,0,40,>50k,tertiary,white collar,north america,46-60
41,private,220531,15,married,male spouse,white,male,0,0,60,>50k,tertiary,white collar,north america,36-45
50,private,176609,10,divorced or separated,single,white,male,0,0,45,<=50k,some college,service,north america,46-60
25,private,371987,13,single,single,white,female,0,0,40,<=50k,tertiary,white collar,north america,18-25
50,private,193884,4,married,male spouse,white,male,0,0,40,<=50k,primary,blue collar,south america,46-60
36,private,200352,13,married,male spouse,white,male,0,0,45,<=50k,tertiary,white collar,north america,36-45
